,분류,충전소,주소,이용가능시간,타입,충전기용량,lon,lat,요금
1,충전소,㈜행운식품,제주특별자치도 제주시 조천읍 함덕리 906번지,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(50kW),126.6699363,33.5368718,"100kw미만: 324.4원
100kw 이상: 347.2원"
2,충전소,강정크루즈터미널,제주특별자치도 서귀포시 말질로 261,24시간 이용가능,DC콤보,급속(200kW동시),126.4742042,33.2372991,"100kw미만: 324.4원
100kw 이상: 347.2원"
3,충전소,거문오름,제주특별자치도 제주시 조천읍 선흘리 461,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(100kW멀티),126.7117113,33.4548201,"100kw미만: 324.4원
100kw 이상: 347.2원"
4,충전소,건강쉼터,제주특별자치도 제주시 한경면 두모리 2962-1,24시간 이용가능,DC콤보,급속(200kW동시),126.1858322,33.3528422,"100kw미만: 324.4원
100kw 이상: 347.2원"
5,충전소,건입동 주민센터,제주특별자치도 제주시 만덕로 18,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(100kW멀티),126.5315988,33.5150116,"100kw미만: 324.4원
100kw 이상: 347.2원"
6,충전소,경제통상진흥원,제주특별자치도 제주시 연삼로 473,24시간 이용가능,DC콤보,급속(100kW단독),126.5405872,33.4994261,"100kw미만: 324.4원
100kw 이상: 347.2원"
7,충전소,관음사지구안내소,제주특별자치도 제주시 산록북로 588,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(100kW멀티),126.5503226,33.4218993,"100kw미만: 324.4원
100kw 이상: 347.2원"
8,충전소,교래자연휴양림,제주특별자치도 제주시 조천읍 교래리 산98-2,24시간 이용가능,DC콤보,급속(100kW단독),126.6665803,33.4276176,"100kw미만: 324.4원
100kw 이상: 347.2원"
9,충전소,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023(산 98),24시간 이용가능,DC차데모+AC3상+DC콤보,급속(100kW멀티),126.6589493,33.4486627,"100kw미만: 324.4원
100kw 이상: 347.2원"
10,충전소,구좌읍사무소,제주특별자치도 제주시 구좌읍 일주동로 3116,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(100kW멀티),126.8206181,33.5314441,"100kw미만: 324.4원
100kw 이상: 347.2원"
11,충전소,구좌체육관,"제주특별자치도 제주시 구좌읍 김녕로 209, 구좌체육관 본관 주차장(김녕리 497-1)",24시간 이용가능,DC차데모+AC3상+DC콤보,급속(50kW),126.7609814,33.5561497,"100kw미만: 324.4원
100kw 이상: 347.2원"
12,충전소,국민건강보험공단 서귀포지사,제주특별자치도 서귀포시 신서귀로 51번길 38,24시간 이용가능,DC콤보,급속(100kW멀티),126.5075157,33.2549416,"100kw미만: 324.4원
100kw 이상: 347.2원"
13,충전소,국토교통부 인재개발원 앞 주차장,제주특별자치도 서귀포시 서호동 1603주차장 안쪽,24시간 이용가능,DC차데모+AC3상+DC콤보,급속(50kW),126.5169922,33.2784399,"100kw미만: 324.4원
100kw 이상: 347.2원"
14,충전소,금능해수욕장 주차장,제주특별자치도 제주시 한림읍 금능리 2018,24시간 이용가능,DC콤보,급속(200kW동시),126.2376564,33.3908391,"100kw미만: 324.4원
100kw 이상: 347.2원"
15,충전소,김녕119지역센터,제주특별자치도 제주시 구좌읍 김녕로 242,24시간 이용가능,DC콤보,급속(200kW동시),126.7488496,33.5547973,"100kw미만: 324.4원
100kw 이상: 347.2원"
